team1;team2;goals1;goals2;pen1;pen2;idx
Brazil;Serbia;0;0;ND;ND;37
Switzerland;Cameroon;3;2;ND;ND;38
Brazil;Switzerland;2;1;ND;ND;39
Cameroon;Serbia;0;2;ND;ND;40
Cameroon;Brazil;1;3;ND;ND;41
Serbia;Switzerland;3;1;ND;ND;42
Portugal;Ghana;4;0;ND;ND;43
Uruguay;South_Korea;1;3;ND;ND;44
Portugal;Uruguay;1;1;ND;ND;45
South_Korea;Ghana;2;1;ND;ND;46
South_Korea;Portugal;0;0;ND;ND;47
Ghana;Uruguay;1;1;ND;ND;48
Netherlands;United_States;4;2;ND;ND;49
Argentina;Australia;1;0;ND;ND;50
Japan;Belgium;2;2;7;6;51
Serbia;Portugal;0;3;ND;ND;52
Senegal;England;1;0;ND;ND;53
Saudi_Arabia;France;1;1;3;4;54
Germany;Croatia;0;2;ND;ND;55
Brazil;South_Korea;1;0;ND;ND;56
Netherlands;Argentina;0;3;ND;ND;57
Japan;Portugal;2;3;ND;ND;58
Senegal;France;0;2;ND;ND;59
Croatia;Brazil;1;1;2;4;60
Argentina;Portugal;2;1;ND;ND;61
France;Brazil;1;1;5;4;62
Portugal;Brazil;0;0;4;5;63
Argentina;France;1;1;4;3;64
Qatar;Ecuador;2;3;ND;ND;1
Senegal;Netherlands;0;1;ND;ND;2
Qatar;Senegal;0;0;ND;ND;3
Netherlands;Ecuador;3;2;ND;ND;4
Netherlands;Qatar;1;1;ND;ND;5
Ecuador;Senegal;0;2;ND;ND;6
England;Iran;4;0;ND;ND;7
United_States;Wales;3;2;ND;ND;8
England;United_States;1;1;ND;ND;9
Wales;Iran;1;1;ND;ND;10
Wales;England;1;1;ND;ND;11
Iran;United_States;1;0;ND;ND;12
Argentina;Saudi_Arabia;1;0;ND;ND;13
Mexico;Poland;0;0;ND;ND;14
Argentina;Mexico;3;2;ND;ND;15
Poland;Saudi_Arabia;0;1;ND;ND;16
Poland;Argentina;0;2;ND;ND;17
Saudi_Arabia;Mexico;1;2;ND;ND;18
France;Australia;1;0;ND;ND;19
Denmark;Tunisia;1;0;ND;ND;20
France;Denmark;1;3;ND;ND;21
Tunisia;Australia;0;1;ND;ND;22
Tunisia;France;1;0;ND;ND;23
Australia;Denmark;0;1;ND;ND;24
Spain;Costa_Rica;1;0;ND;ND;25
Germany;Japan;1;2;ND;ND;26
Spain;Germany;0;2;ND;ND;27
Japan;Costa_Rica;2;0;ND;ND;28
Japan;Spain;0;2;ND;ND;29
Costa_Rica;Germany;2;1;ND;ND;30
Belgium;Canada;1;0;ND;ND;31
Morocco;Croatia;2;2;ND;ND;32
Belgium;Morocco;2;0;ND;ND;33
Croatia;Canada;1;0;ND;ND;34
Croatia;Belgium;0;2;ND;ND;35
Canada;Morocco;0;0;ND;ND;36
Brazil;Serbia;0;0;ND;ND;37
Switzerland;Cameroon;3;2;ND;ND;38
Brazil;Switzerland;0;0;ND;ND;39
Cameroon;Serbia;1;1;ND;ND;40
Cameroon;Brazil;1;2;ND;ND;41
Serbia;Switzerland;0;1;ND;ND;42
Portugal;Ghana;2;0;ND;ND;43
Uruguay;South_Korea;2;0;ND;ND;44
Portugal;Uruguay;2;0;ND;ND;45
South_Korea;Ghana;2;1;ND;ND;46
South_Korea;Portugal;2;2;ND;ND;47
Ghana;Uruguay;1;1;ND;ND;48
Netherlands;United_States;3;0;ND;ND;49
Argentina;Australia;3;0;ND;ND;50
Japan;Croatia;0;1;ND;ND;51
Switzerland;Uruguay;0;1;ND;ND;52
Senegal;England;0;1;ND;ND;53
Mexico;Denmark;2;1;ND;ND;54
Spain;Belgium;0;1;ND;ND;55
Brazil;Portugal;1;1;3;5;56
Netherlands;Argentina;1;1;4;2;57
Croatia;Uruguay;1;2;ND;ND;58
England;Mexico;3;3;2;4;59
Belgium;Portugal;3;2;ND;ND;60
Netherlands;Uruguay;0;0;7;6;61
Mexico;Belgium;0;1;ND;ND;62
Uruguay;Mexico;2;2;4;2;63
Netherlands;Belgium;1;3;ND;ND;64
Qatar;Ecuador;0;4;ND;ND;1
Senegal;Netherlands;0;1;ND;ND;2
Qatar;Senegal;0;0;ND;ND;3
Netherlands;Ecuador;2;1;ND;ND;4
Netherlands;Qatar;0;0;ND;ND;5
Ecuador;Senegal;2;1;ND;ND;6
England;Iran;1;1;ND;ND;7
United_States;Wales;1;2;ND;ND;8
England;United_States;2;1;ND;ND;9
Wales;Iran;0;2;ND;ND;10
Wales;England;2;2;ND;ND;11
Iran;United_States;0;0;ND;ND;12
Argentina;Saudi_Arabia;3;0;ND;ND;13
Mexico;Poland;1;1;ND;ND;14
Argentina;Mexico;1;0;ND;ND;15
Poland;Saudi_Arabia;0;2;ND;ND;16
Poland;Argentina;1;0;ND;ND;17
Saudi_Arabia;Mexico;0;2;ND;ND;18
France;Australia;0;2;ND;ND;19
Denmark;Tunisia;4;0;ND;ND;20
France;Denmark;1;2;ND;ND;21
Tunisia;Australia;1;1;ND;ND;22
Tunisia;France;0;1;ND;ND;23
Australia;Denmark;2;2;ND;ND;24
Spain;Costa_Rica;1;0;ND;ND;25
Germany;Japan;0;1;ND;ND;26
Spain;Germany;0;1;ND;ND;27
Japan;Costa_Rica;2;0;ND;ND;28
Japan;Spain;0;0;ND;ND;29
Costa_Rica;Germany;0;4;ND;ND;30
Belgium;Canada;2;1;ND;ND;31
Morocco;Croatia;0;2;ND;ND;32
Belgium;Morocco;1;0;ND;ND;33
Croatia;Canada;2;0;ND;ND;34
Croatia;Belgium;2;5;ND;ND;35
Canada;Morocco;2;1;ND;ND;36
Brazil;Serbia;2;1;ND;ND;37
Switzerland;Cameroon;2;2;ND;ND;38
Brazil;Switzerland;3;0;ND;ND;39
Cameroon;Serbia;0;3;ND;ND;40
Cameroon;Brazil;0;2;ND;ND;41
Serbia;Switzerland;0;1;ND;ND;42
Portugal;Ghana;2;1;ND;ND;43
Uruguay;South_Korea;1;2;ND;ND;44
Portugal;Uruguay;1;0;ND;ND;45
South_Korea;Ghana;1;0;ND;ND;46
South_Korea;Portugal;0;3;ND;ND;47
Ghana;Uruguay;2;0;ND;ND;48
Netherlands;England;2;0;ND;ND;49
Argentina;Australia;0;3;ND;ND;50
Japan;Croatia;1;2;ND;ND;51
Brazil;South_Korea;2;1;ND;ND;52
Ecuador;Iran;3;1;ND;ND;53
Mexico;Denmark;0;0;5;6;54
Germany;Belgium;1;0;ND;ND;55
Switzerland;Portugal;2;2;3;4;56
Netherlands;Australia;0;2;ND;ND;57
Croatia;Brazil;2;1;ND;ND;58
Ecuador;Denmark;2;2;4;5;59
Germany;Portugal;2;2;4;5;60
Australia;Croatia;2;1;ND;ND;61
Denmark;Portugal;3;2;ND;ND;62
Croatia;Portugal;1;0;ND;ND;63
Australia;Denmark;2;1;ND;ND;64
Qatar;Ecuador;0;3;ND;ND;1
Senegal;Netherlands;0;0;ND;ND;2
Qatar;Senegal;1;0;ND;ND;3
Netherlands;Ecuador;1;0;ND;ND;4
Netherlands;Qatar;1;0;ND;ND;5
Ecuador;Senegal;3;0;ND;ND;6
England;Iran;2;0;ND;ND;7
United_States;Wales;1;1;ND;ND;8
England;United_States;4;1;ND;ND;9
Wales;Iran;0;0;ND;ND;10
Wales;England;1;0;ND;ND;11
Iran;United_States;1;3;ND;ND;12
Argentina;Saudi_Arabia;1;0;ND;ND;13
Mexico;Poland;2;1;ND;ND;14
Argentina;Mexico;2;0;ND;ND;15
Poland;Saudi_Arabia;3;0;ND;ND;16
Poland;Argentina;1;0;ND;ND;17
Saudi_Arabia;Mexico;0;1;ND;ND;18
France;Australia;4;1;ND;ND;19
Denmark;Tunisia;3;0;ND;ND;20
France;Denmark;1;3;ND;ND;21
Tunisia;Australia;1;2;ND;ND;22
Tunisia;France;0;0;ND;ND;23
Australia;Denmark;0;0;ND;ND;24
Spain;Costa_Rica;2;1;ND;ND;25
Germany;Japan;0;1;ND;ND;26
Spain;Germany;3;0;ND;ND;27
Japan;Costa_Rica;4;1;ND;ND;28
Japan;Spain;0;2;ND;ND;29
Costa_Rica;Germany;0;2;ND;ND;30
Belgium;Canada;3;0;ND;ND;31
Morocco;Croatia;1;2;ND;ND;32
Belgium;Morocco;0;0;ND;ND;33
Croatia;Canada;3;1;ND;ND;34
Croatia;Belgium;0;1;ND;ND;35
Canada;Morocco;0;1;ND;ND;36
Brazil;Serbia;1;0;ND;ND;37
Switzerland;Cameroon;2;0;ND;ND;38
Brazil;Switzerland;2;1;ND;ND;39
Cameroon;Serbia;1;0;ND;ND;40
Cameroon;Brazil;0;3;ND;ND;41
Serbia;Switzerland;2;2;ND;ND;42
Portugal;Ghana;1;1;ND;ND;43
Uruguay;South_Korea;3;1;ND;ND;44
Portugal;Uruguay;1;2;ND;ND;45
South_Korea;Ghana;2;0;ND;ND;46
South_Korea;Portugal;1;3;ND;ND;47
Ghana;Uruguay;0;2;ND;ND;48
Netherlands;Wales;1;2;ND;ND;49
Poland;France;0;3;ND;ND;50
Spain;Croatia;2;2;3;4;51
Brazil;Portugal;1;3;ND;ND;52
Ecuador;England;0;0;7;6;53
Argentina;Denmark;1;0;ND;ND;54
Japan;Belgium;3;2;ND;ND;55
Switzerland;Uruguay;1;0;ND;ND;56
Wales;France;1;3;ND;ND;57
Croatia;Portugal;1;0;ND;ND;58
Ecuador;Argentina;0;4;ND;ND;59
Japan;Switzerland;1;2;ND;ND;60
France;Croatia;0;2;ND;ND;61
Argentina;Switzerland;0;1;ND;ND;62
France;Argentina;1;1;4;5;63
Croatia;Switzerland;2;1;ND;ND;64
Qatar;Ecuador;0;1;ND;ND;1
Senegal;Netherlands;0;1;ND;ND;2
Qatar;Senegal;1;3;ND;ND;3
Netherlands;Ecuador;3;2;ND;ND;4
Netherlands;Qatar;0;1;ND;ND;5
Ecuador;Senegal;4;0;ND;ND;6
England;Iran;1;0;ND;ND;7
United_States;Wales;2;0;ND;ND;8
England;United_States;1;0;ND;ND;9
Wales;Iran;1;2;ND;ND;10
Wales;England;3;1;ND;ND;11
Iran;United_States;0;2;ND;ND;12
Argentina;Saudi_Arabia;3;1;ND;ND;13
Mexico;Poland;1;1;ND;ND;14
Argentina;Mexico;5;1;ND;ND;15
Poland;Saudi_Arabia;2;0;ND;ND;16
Poland;Argentina;0;2;ND;ND;17
Saudi_Arabia;Mexico;1;0;ND;ND;18
France;Australia;3;1;ND;ND;19
Denmark;Tunisia;1;1;ND;ND;20
France;Denmark;1;2;ND;ND;21
Tunisia;Australia;1;1;ND;ND;22
Tunisia;France;1;4;ND;ND;23
Australia;Denmark;2;0;ND;ND;24
Spain;Costa_Rica;2;0;ND;ND;25
Germany;Japan;1;1;ND;ND;26
Spain;Germany;2;1;ND;ND;27
Japan;Costa_Rica;1;3;ND;ND;28
Japan;Spain;1;1;ND;ND;29
Costa_Rica;Germany;1;1;ND;ND;30
Belgium;Canada;3;1;ND;ND;31
Morocco;Croatia;1;2;ND;ND;32
Belgium;Morocco;2;1;ND;ND;33
Croatia;Canada;1;0;ND;ND;34
Croatia;Belgium;0;1;ND;ND;35
Canada;Morocco;3;1;ND;ND;36
Brazil;Serbia;1;0;ND;ND;37
Switzerland;Cameroon;2;2;ND;ND;38
Brazil;Switzerland;3;1;ND;ND;39
Cameroon;Serbia;0;2;ND;ND;40
Cameroon;Brazil;0;3;ND;ND;41
Serbia;Switzerland;1;0;ND;ND;42
Portugal;Ghana;0;0;ND;ND;43
Uruguay;South_Korea;2;2;ND;ND;44
Portugal;Uruguay;2;0;ND;ND;45
South_Korea;Ghana;1;0;ND;ND;46
South_Korea;Portugal;0;2;ND;ND;47
Ghana;Uruguay;2;2;ND;ND;48
Ecuador;England;1;0;ND;ND;49
Argentina;Australia;2;2;5;4;50
Spain;Croatia;2;1;ND;ND;51
Brazil;South_Korea;4;2;ND;ND;52
Netherlands;United_States;0;0;4;5;53
Poland;France;0;0;1;4;54
Costa_Rica;Belgium;1;4;ND;ND;55
Serbia;Portugal;1;3;ND;ND;56
Ecuador;Argentina;1;0;ND;ND;57
Spain;Brazil;1;1;2;4;58
United_States;France;1;0;ND;ND;59
Belgium;Portugal;0;1;ND;ND;60
Ecuador;Brazil;0;4;ND;ND;61
United_States;Portugal;1;1;4;2;62
Ecuador;Portugal;1;0;ND;ND;63
Brazil;United_States;5;0;ND;ND;64
Qatar;Ecuador;1;4;ND;ND;1
Senegal;Netherlands;0;2;ND;ND;2
Qatar;Senegal;1;0;ND;ND;3
Netherlands;Ecuador;4;1;ND;ND;4
Netherlands;Qatar;1;0;ND;ND;5
Ecuador;Senegal;1;0;ND;ND;6
England;Iran;1;1;ND;ND;7
United_States;Wales;0;3;ND;ND;8
England;United_States;1;1;ND;ND;9
Wales;Iran;0;0;ND;ND;10
Wales;England;2;1;ND;ND;11
Iran;United_States;0;1;ND;ND;12
Argentina;Saudi_Arabia;2;0;ND;ND;13
Mexico;Poland;0;2;ND;ND;14
Argentina;Mexico;1;0;ND;ND;15
Poland;Saudi_Arabia;2;0;ND;ND;16
Poland;Argentina;1;1;ND;ND;17
Saudi_Arabia;Mexico;2;2;ND;ND;18
France;Australia;4;0;ND;ND;19
Denmark;Tunisia;3;1;ND;ND;20
France;Denmark;0;2;ND;ND;21
Tunisia;Australia;2;0;ND;ND;22
Tunisia;France;0;1;ND;ND;23
Australia;Denmark;1;0;ND;ND;24
Spain;Costa_Rica;4;1;ND;ND;25
Germany;Japan;2;1;ND;ND;26
Spain;Germany;1;1;ND;ND;27
Japan;Costa_Rica;2;2;ND;ND;28
Japan;Spain;0;2;ND;ND;29
Costa_Rica;Germany;2;1;ND;ND;30
Belgium;Canada;5;0;ND;ND;31
Morocco;Croatia;1;4;ND;ND;32
Belgium;Morocco;0;0;ND;ND;33
Croatia;Canada;2;0;ND;ND;34
Croatia;Belgium;1;0;ND;ND;35
Canada;Morocco;1;0;ND;ND;36
Brazil;Serbia;0;0;ND;ND;37
Switzerland;Cameroon;3;0;ND;ND;38
Brazil;Switzerland;1;2;ND;ND;39
Cameroon;Serbia;1;1;ND;ND;40
Cameroon;Brazil;0;3;ND;ND;41
Serbia;Switzerland;1;1;ND;ND;42
Portugal;Ghana;1;3;ND;ND;43
Uruguay;South_Korea;2;1;ND;ND;44
Portugal;Uruguay;1;1;ND;ND;45
South_Korea;Ghana;4;0;ND;ND;46
South_Korea;Portugal;1;1;ND;ND;47
Ghana;Uruguay;1;5;ND;ND;48
Netherlands;United_States;0;2;ND;ND;49
Poland;Denmark;0;1;ND;ND;50
Spain;Belgium;1;1;4;5;51
Switzerland;South_Korea;3;0;ND;ND;52
Ecuador;Wales;3;0;ND;ND;53
Argentina;France;0;0;4;3;54
Germany;Croatia;1;1;4;3;55
Brazil;Uruguay;2;0;ND;ND;56
United_States;Denmark;0;1;ND;ND;57
Belgium;Switzerland;1;1;2;4;58
Ecuador;Argentina;0;0;3;2;59
Germany;Brazil;3;4;ND;ND;60
Denmark;Switzerland;4;1;ND;ND;61
Ecuador;Brazil;1;1;10;9;62
Switzerland;Brazil;2;2;4;3;63
Denmark;Ecuador;2;3;ND;ND;64
Qatar;Ecuador;0;2;ND;ND;1
Senegal;Netherlands;1;3;ND;ND;2
Qatar;Senegal;1;1;ND;ND;3
Netherlands;Ecuador;1;0;ND;ND;4
Netherlands;Qatar;0;1;ND;ND;5
Ecuador;Senegal;2;0;ND;ND;6
England;Iran;1;3;ND;ND;7
United_States;Wales;0;1;ND;ND;8
England;United_States;2;0;ND;ND;9
Wales;Iran;1;1;ND;ND;10
Wales;England;0;2;ND;ND;11
Iran;United_States;0;1;ND;ND;12
Argentina;Saudi_Arabia;3;2;ND;ND;13
Mexico;Poland;2;1;ND;ND;14
Argentina;Mexico;3;0;ND;ND;15
Poland;Saudi_Arabia;2;1;ND;ND;16
Poland;Argentina;3;1;ND;ND;17
Saudi_Arabia;Mexico;1;1;ND;ND;18
France;Australia;1;1;ND;ND;19
Denmark;Tunisia;2;0;ND;ND;20
France;Denmark;3;2;ND;ND;21
Tunisia;Australia;2;2;ND;ND;22
Tunisia;France;0;2;ND;ND;23
Australia;Denmark;0;0;ND;ND;24
Spain;Costa_Rica;0;0;ND;ND;25
Germany;Japan;2;1;ND;ND;26
Spain;Germany;2;0;ND;ND;27
Japan;Costa_Rica;2;3;ND;ND;28
Japan;Spain;0;3;ND;ND;29
Costa_Rica;Germany;1;0;ND;ND;30
Belgium;Canada;2;2;ND;ND;31
Morocco;Croatia;2;1;ND;ND;32
Belgium;Morocco;2;1;ND;ND;33
Croatia;Canada;3;0;ND;ND;34
Croatia;Belgium;3;1;ND;ND;35
Canada;Morocco;0;1;ND;ND;36
Brazil;Serbia;1;0;ND;ND;37
Switzerland;Cameroon;1;0;ND;ND;38
Brazil;Switzerland;0;1;ND;ND;39
Cameroon;Serbia;0;0;ND;ND;40
Cameroon;Brazil;1;2;ND;ND;41
Serbia;Switzerland;1;0;ND;ND;42
Portugal;Ghana;3;0;ND;ND;43
Uruguay;South_Korea;1;1;ND;ND;44
Portugal;Uruguay;0;0;ND;ND;45
South_Korea;Ghana;4;0;ND;ND;46
South_Korea;Portugal;3;0;ND;ND;47
Ghana;Uruguay;2;2;ND;ND;48
Ecuador;Iran;2;1;ND;ND;49
Argentina;Denmark;3;0;ND;ND;50
Spain;Morocco;2;2;3;4;51
Brazil;Portugal;5;1;ND;ND;52
Netherlands;England;1;1;7;6;53
Poland;France;2;0;ND;ND;54
Costa_Rica;Croatia;2;1;ND;ND;55
Switzerland;South_Korea;3;1;ND;ND;56
Ecuador;Argentina;2;2;14;15;57
Morocco;Brazil;2;3;ND;ND;58
Netherlands;Poland;3;0;ND;ND;59
Costa_Rica;Switzerland;0;1;ND;ND;60
Argentina;Brazil;2;1;ND;ND;61
Netherlands;Switzerland;0;1;ND;ND;62
Brazil;Netherlands;2;0;ND;ND;63
Argentina;Switzerland;1;1;8;9;64
Qatar;Ecuador;2;1;ND;ND;1
Senegal;Netherlands;0;3;ND;ND;2
Qatar;Senegal;2;1;ND;ND;3
Netherlands;Ecuador;0;0;ND;ND;4
Netherlands;Qatar;1;1;ND;ND;5
Ecuador;Senegal;3;0;ND;ND;6
England;Iran;0;1;ND;ND;7
United_States;Wales;3;3;ND;ND;8
England;United_States;2;2;ND;ND;9
Wales;Iran;3;1;ND;ND;10
Wales;England;3;1;ND;ND;11
Iran;United_States;0;1;ND;ND;12
Argentina;Saudi_Arabia;5;0;ND;ND;13
Mexico;Poland;4;1;ND;ND;14
Argentina;Mexico;1;2;ND;ND;15
Poland;Saudi_Arabia;0;0;ND;ND;16
Poland;Argentina;2;3;ND;ND;17
Saudi_Arabia;Mexico;0;3;ND;ND;18
France;Australia;3;0;ND;ND;19
Denmark;Tunisia;1;0;ND;ND;20
France;Denmark;1;0;ND;ND;21
Tunisia;Australia;1;1;ND;ND;22
Tunisia;France;1;1;ND;ND;23
Australia;Denmark;0;3;ND;ND;24
Spain;Costa_Rica;2;2;ND;ND;25
Germany;Japan;1;1;ND;ND;26
Spain;Germany;2;2;ND;ND;27
Japan;Costa_Rica;1;0;ND;ND;28
Japan;Spain;1;0;ND;ND;29
Costa_Rica;Germany;1;2;ND;ND;30
Belgium;Canada;2;0;ND;ND;31
Morocco;Croatia;0;2;ND;ND;32
Belgium;Morocco;1;0;ND;ND;33
Croatia;Canada;2;2;ND;ND;34
Croatia;Belgium;0;0;ND;ND;35
Canada;Morocco;2;1;ND;ND;36
Brazil;Serbia;1;0;ND;ND;37
Switzerland;Cameroon;2;1;ND;ND;38
Brazil;Switzerland;2;1;ND;ND;39
Cameroon;Serbia;2;3;ND;ND;40
Cameroon;Brazil;1;2;ND;ND;41
Serbia;Switzerland;2;2;ND;ND;42
Portugal;Ghana;4;1;ND;ND;43
Uruguay;South_Korea;3;1;ND;ND;44
Portugal;Uruguay;0;1;ND;ND;45
South_Korea;Ghana;3;1;ND;ND;46
South_Korea;Portugal;0;1;ND;ND;47
Ghana;Uruguay;1;4;ND;ND;48
Qatar;United_States;0;1;ND;ND;49
Mexico;Denmark;1;3;ND;ND;50
Japan;Croatia;1;2;ND;ND;51
Brazil;Portugal;1;1;4;2;52
Netherlands;Wales;2;0;ND;ND;53
Argentina;France;1;0;ND;ND;54
Germany;Belgium;2;0;ND;ND;55
Switzerland;Uruguay;1;2;ND;ND;56
United_States;Denmark;0;2;ND;ND;57
Croatia;Brazil;0;1;ND;ND;58
Netherlands;Argentina;1;1;5;4;59
Germany;Uruguay;2;1;ND;ND;60
Denmark;Brazil;0;0;3;4;61
Netherlands;Germany;1;3;ND;ND;62
Denmark;Netherlands;1;3;ND;ND;63
Brazil;Germany;2;0;ND;ND;64
Qatar;Ecuador;0;0;ND;ND;1
Senegal;Netherlands;1;3;ND;ND;2
Qatar;Senegal;1;1;ND;ND;3
Netherlands;Ecuador;2;0;ND;ND;4
Netherlands;Qatar;4;0;ND;ND;5
Ecuador;Senegal;0;0;ND;ND;6
England;Iran;1;3;ND;ND;7
United_States;Wales;2;0;ND;ND;8
England;United_States;2;4;ND;ND;9
Wales;Iran;2;0;ND;ND;10
Wales;England;1;1;ND;ND;11
Iran;United_States;4;0;ND;ND;12
Argentina;Saudi_Arabia;3;1;ND;ND;13
Mexico;Poland;1;1;ND;ND;14
Argentina;Mexico;1;1;ND;ND;15
Poland;Saudi_Arabia;4;0;ND;ND;16
Poland;Argentina;1;1;ND;ND;17
Saudi_Arabia;Mexico;0;1;ND;ND;18
